Time,Name,X,Y,Force,Accel,Angle,Speed,SAngle,Mass,Radius
2.600000,Cannon,37.545570,115.553368,0.000000,4.28332E-16,167.267609,45.000000,18.000002,10, 20
2.600000,Earth,50.000000,50.000000,0.000000,4.28332E-17,347.267609,0.000000,287.478271,100, 5
2.700000,Cannon,38.936146,119.833122,0.000000,3.3647E-16,169.242630,45.000000,18.000002,10, 20
2.700000,Earth,50.000000,50.000000,0.000000,3.3647E-17,349.242615,0.000000,287.767578,100, 5
2.799999,Cannon,40.326721,124.112877,0.000000,2.66899E-16,170.997299,45.000000,18.000002,10, 20
2.799999,Earth,50.000000,50.000000,0.000000,2.66899E-17,350.997314,0.000000,287.999664,100, 5
2.899999,Cannon,41.717297,128.392624,0.000000,2.13737E-16,172.563751,45.000000,18.000002,10, 20
2.899999,Earth,50.000000,50.000000,0.000000,2.13737E-17,352.563751,0.000000,288.187347,100, 5
2.999999,Cannon,43.107872,132.672379,0.000000,1.72736E-16,173.968689,45.000000,18.000002,10, 20
2.999999,Earth,50.000000,50.000000,0.000000,1.72736E-17,353.968689,0.000000,288.340363,100, 5
3.099999,Cannon,44.498447,136.952133,0.000000,1.40821E-16,175.234467,45.000000,18.000002,10, 20
3.099999,Earth,50.000000,50.000000,0.000000,1.40821E-17,355.234467,0.000000,288.466034,100, 5
3.199999,Cannon,45.889023,141.231888,0.000000,1.15754E-16,176.379669,45.000000,18.000002,10, 20
3.199999,Earth,50.000000,50.000000,0.000000,1.15754E-17,356.379669,0.000000,288.570038,100, 5
3.299999,Cannon,47.279598,145.511642,0.000000,9.58909E-17,177.419952,45.000000,18.000002,10, 20
3.299999,Earth,50.000000,50.000000,0.000000,9.58909E-18,357.419952,0.000000,288.656708,100, 5
3.399999,Cannon,48.670174,149.791397,0.000000,8.00196E-17,178.368515,45.000000,18.000002,10, 20
3.399999,Earth,50.000000,50.000000,0.000000,8.00196E-18,358.368530,0.000000,288.729401,100, 5
3.499999,Cannon,50.060749,154.071152,0.000000,6.72356E-17,179.236511,45.000000,18.000002,10, 20
3.499999,Earth,50.000000,50.000000,0.000000,6.72356E-18,359.236511,0.000000,288.790771,100, 5
3.599999,Cannon,51.451324,158.350906,0.000000,5.68596E-17,180.033447,45.000000,18.000002,10, 20
3.599999,Earth,50.000000,50.000000,0.000000,5.68596E-18,0.033445,0.000000,288.842896,100, 5
3.699999,Cannon,52.841900,162.630661,0.000000,4.83771E-17,180.767410,45.000000,18.000002,10, 20
3.699999,Earth,50.000000,50.000000,0.000000,4.83771E-18,0.767412,0.000000,288.887390,100, 5
3.799999,Cannon,54.232475,166.910416,0.000000,4.13949E-17,181.445389,45.000000,18.000002,10, 20
3.799999,Earth,50.000000,50.000000,0.000000,4.13949E-18,1.445382,0.000000,288.925598,100, 5
3.899998,Cannon,55.623051,171.190170,0.000000,3.56103E-17,182.073364,45.000000,18.000002,10, 20
3.899998,Earth,50.000000,50.000000,0.000000,3.56103E-18,2.073358,0.000000,288.958557,100, 5
3.999998,Cannon,57.013626,175.469925,0.000000,3.07885E-17,182.656540,45.000000,18.000002,10, 20
3.999998,Earth,50.000000,50.000000,0.000000,3.07885E-18,2.656537,0.000000,288.987152,100, 5
4.099998,Cannon,58.404202,179.749680,0.000000,2.67459E-17,183.199432,45.000000,18.000002,10, 20
4.099998,Earth,50.000000,50.000000,0.000000,2.67459E-18,3.199439,0.000000,289.012054,100, 5
4.199998,Cannon,59.794777,184.029434,0.000000,2.3338E-17,183.706009,45.000000,18.000002,10, 20
4.199998,Earth,50.000000,50.000000,0.000000,2.3338E-18,3.706010,0.000000,289.033813,100, 5
4.299998,Cannon,61.185352,188.309189,0.000000,2.04503E-17,184.179703,45.000000,18.000002,10, 20
4.299998,Earth,50.000000,50.000000,0.000000,2.04503E-18,4.179705,0.000000,289.052917,100, 5
4.399998,Cannon,62.575928,192.588943,0.000000,1.79912E-17,184.623566,45.000000,18.000002,10, 20
4.399998,Earth,50.000000,50.000000,0.000000,1.79912E-18,4.623567,0.000000,289.069763,100, 5
4.499998,Cannon,63.966503,196.868698,0.000000,1.58874E-17,185.040283,45.000000,18.000002,10, 20
4.499998,Earth,50.000000,50.000000,0.000000,1.58874E-18,5.040278,0.000000,289.084656,100, 5
4.599998,Cannon,65.357079,201.148453,0.000000,1.40796E-17,185.432220,45.000000,18.000002,10, 20
4.599998,Earth,50.000000,50.000000,0.000000,1.40796E-18,5.432216,0.000000,289.097870,100, 5
4.699998,Cannon,66.747658,205.428207,0.000000,1.25196E-17,185.801498,45.000000,18.000002,10, 20
4.699998,Earth,50.000000,50.000000,0.000000,1.25196E-18,5.801493,0.000000,289.109650,100, 5
4.799998,Cannon,68.138237,209.707962,0.000000,1.11681E-17,186.149994,45.000000,18.000002,10, 20
4.799998,Earth,50.000000,50.000000,0.000000,1.11681E-18,6.149991,0.000000,289.120178,100, 5
4.899998,Cannon,69.528816,213.987717,0.000000,9.99281E-18,186.479385,45.000000,18.000002,10, 20
4.899998,Earth,50.000000,50.000000,0.000000,9.99281E-19,6.479392,0.000000,289.129608,100, 5
4.999998,Cannon,70.919395,218.267471,0.000000,8.96704E-18,186.791199,45.000000,18.000002,10, 20
4.999998,Earth,50.000000,50.000000,0.000000,8.96704E-19,6.791203,0.000000,289.138062,100, 5
5.099998,Cannon,72.309975,222.547226,0.000000,8.06869E-18,187.086777,45.000000,18.000002,10, 20
5.099998,Earth,50.000000,50.000000,0.000000,8.06869E-19,7.086781,0.000000,289.145691,100, 5
5.199997,Cannon,73.700554,226.826981,0.000000,7.27936E-18,187.367340,45.000000,18.000002,10, 20
5.199997,Earth,50.000000,50.000000,0.000000,7.27936E-19,7.367343,0.000000,289.152588,100, 5
5.299997,Cannon,75.091133,231.106735,0.000000,6.58364E-18,187.634003,45.000000,18.000002,10, 20
5.299997,Earth,50.000000,50.000000,0.000000,6.58364E-19,7.633996,0.000000,289.158813,100, 5
5.399997,Cannon,76.481712,235.386490,0.000000,5.96861E-18,187.887741,45.000000,18.000002,10, 20
5.399997,Earth,50.000000,50.000000,0.000000,5.96861E-19,7.887739,0.000000,289.164459,100, 5
5.499997,Cannon,77.872292,239.666245,0.000000,5.42336E-18,188.129471,45.000000,18.000002,10, 20
5.499997,Earth,50.000000,50.000000,0.000000,5.42336E-19,8.129477,0.000000,289.169617,100, 5
5.599997,Cannon,79.262871,243.945999,0.000000,4.93864E-18,188.360031,45.000000,18.000002,10, 20
5.599997,Earth,50.000000,50.000000,0.000000,4.93864E-19,8.360030,0.000000,289.174316,100, 5
5.699997,Cannon,80.653450,248.225754,0.000000,4.50662E-18,188.580154,45.000000,18.000002,10, 20
5.699997,Earth,50.000000,50.000000,0.000000,4.50662E-19,8.580156,0.000000,289.178589,100, 5
5.799997,Cannon,82.044029,252.505508,0.000000,4.12059E-18,188.790543,45.000000,18.000002,10, 20
5.799997,Earth,50.000000,50.000000,0.000000,4.12059E-19,8.790539,0.000000,289.182495,100, 5
5.899997,Cannon,83.434608,256.785248,0.000000,3.77483E-18,188.991806,45.000000,18.000002,10, 20
5.899997,Earth,50.000000,50.000000,0.000000,3.77483E-19,8.991803,0.000000,289.186096,100, 5
5.999997,Cannon,84.825188,261.065002,0.000000,3.46443E-18,189.184525,45.000000,18.000002,10, 20
5.999997,Earth,50.000000,50.000000,0.000000,3.46443E-19,9.184529,0.000000,289.189392,100, 5
